,ar-0,ar-1,ar-2,ar-3,pr-0,pr-1,pr-2,pr-3,class-0-latency,class-1-bw,class-2-bw
25,24,13,0,19,100,62,76,90,1.574655,5523.881911,4029.8342702500004
26,7,11,32,27,54,83,100,54,1.579111,5710.574387750005,3433.9928615
27,15,17,13,28,66,62,73,100,1.579676,5514.265299499997,3437.560797000002
28,13,8,17,26,96,86,98,98,1.574031,6752.443312499999,2487.01930175
29,7,19,13,12,59,100,97,61,1.6131229999999999,8048.626184749995,2162.9118917500004
30,24,18,5,24,100,75,69,98,1.578544,6459.178927000001,2890.458106
31,14,21,11,20,82,94,62,96,1.6038009999999998,7592.548130250009,1974.0629189999997
32,15,21,1,22,95,96,49,94,1.594998,7967.410087000001,1287.0633627499997
33,26,14,26,30,92,87,71,96,1.587348,5693.740845249994,3103.045227750003
34,9,24,16,1,47,93,89,81,1.6163500000000002,7817.488908999998,3346.049784
35,5,16,16,14,69,100,98,95,1.590928,7630.931138500002,2455.585003
36,29,22,11,23,86,66,97,91,1.578088,5783.901214500006,3569.875955999999
37,23,6,31,23,64,45,71,78,1.581815,4588.377474749997,4475.920202999998
38,4,24,23,34,32,89,75,100,1.603178,5886.530875750004,2789.323330250001
39,35,8,25,7,75,99,82,41,1.612489,7258.088589500008,3303.1082160000005
40,39,0,16,28,94,67,47,78,1.598698,5665.903091000005,3119.3912045
41,0,18,17,23,86,77,85,93,1.618612,6250.02026525,3089.3349644999994
42,23,16,8,41,81,87,48,100,1.593457,6627.516747500009,1438.4651175
43,28,13,10,37,70,78,31,95,1.584201,6462.446449499998,1843.7194844999995
44,13,28,21,32,73,92,73,98,1.583048,6199.08928725,2627.4013517500002
45,2,17,24,21,66,89,98,87,1.601944,6410.906315250002,3133.487703250002
46,22,21,10,21,93,93,52,95,1.590325,7346.419097999999,2084.3851579999996
47,8,42,21,2,73,99,97,20,1.603075,8351.625201249995,2754.52852275
48,20,12,26,16,91,55,96,100,1.58569,5159.502029249999,4460.436104500002
49,35,24,11,19,97,70,66,82,1.579396,6069.092750499999,3573.483230250001
50,3,26,12,16,68,84,99,50,1.586043,7099.946736499997,2893.5456290000034
51,15,8,26,16,54,66,92,78,1.5809929999999999,5778.093336249995,3965.6817919999985
52,10,38,10,33,41,89,37,90,1.583932,6781.462431500006,1772.1998695000004
53,12,15,23,21,79,42,69,88,1.604474,4333.317280000001,4675.12130675
54,8,19,0,30,85,74,88,68,1.592649,5986.472366250004,2816.761733749998
55,20,4,21,2,84,38,69,81,1.6006589999999998,4122.873545750001,4910.594225249997
56,17,18,17,13,98,100,100,74,1.595686,7865.478994249995,2408.583163250001
57,13,27,4,29,43,82,31,81,1.587524,6776.3388147499945,1845.5123927499988
58,25,5,0,43,77,95,31,97,1.5949719999999998,7021.331787000002,639.7497642499999
59,17,4,33,3,64,69,93,92,1.595244,6260.215047999999,4571.142196250002
60,17,8,31,0,51,44,83,74,1.611246,4543.771741749999,5680.129528250001
61,2,17,34,34,53,98,96,93,1.606662,5342.396495499995,3323.705196500001
62,28,6,5,30,100,97,74,91,1.593577,7484.548094499998,1263.7686714999998
63,43,15,0,31,75,36,80,88,1.589847,3994.604349999997,4399.596451000001
64,9,9,35,22,84,98,76,91,1.57891,5809.0472227499995,3689.0947834999974
65,24,35,13,16,95,96,99,98,1.602336,7578.259707999997,2282.836437249999
66,33,7,16,32,98,46,60,95,1.5800969999999999,4646.680356499998,3938.9204979999986
67,13,16,14,12,94,100,99,83,1.595178,8091.783524249998,2145.196198999999
68,11,19,25,16,50,79,99,81,1.584744,6519.404645500003,3401.5691287500035
69,20,1,28,30,74,44,93,62,1.583175,4556.385278000002,4077.2330772499963
70,34,20,21,22,99,75,67,87,1.5766719999999999,6383.954290249996,3089.4029137500006
71,7,20,26,26,78,100,67,91,1.5897540000000001,6007.869243500008,3137.950896500001
72,0,8,33,28,61,83,79,85,1.607882,5619.623663249995,3425.8282169999975
73,10,24,28,36,58,61,93,99,1.576403,5294.103623250002,3189.595936
74,21,1,25,19,98,41,94,79,1.602573,4281.6770067499965,4881.63470925
75,4,16,35,8,16,93,82,72,1.603953,6782.522202,3843.3730605
76,14,27,10,5,75,100,72,35,1.606821,8339.174986250004,2452.97193675
77,14,19,11,17,97,82,89,77,1.597453,6606.700421249999,3198.0812520000013
78,13,20,23,23,58,89,100,100,1.571859,6545.49837375,2909.4278840000006
79,20,29,9,17,73,88,76,81,1.585522,7545.316217250004,2369.4050345
80,0,15,40,24,11,40,98,100,1.966788,4185.3082167500015,4771.497249249998
81,35,16,9,26,93,46,99,64,1.583608,4604.177474750005,4341.760872749999
82,17,20,5,12,77,97,47,61,1.5950259999999998,7888.75460500001,2219.805716249999
83,18,24,18,28,88,65,55,69,1.581635,5714.0254955,3218.492268500002
84,16,10,12,16,73,40,87,80,1.615783,4157.552722249999,5190.751552249999
85,13,31,34,10,80,89,99,37,1.600725,6351.262331500004,3928.5981635000003
86,30,16,3,11,86,76,24,70,1.581925,6082.513334000003,2548.356055749999
87,16,6,17,12,98,56,99,87,1.5844179999999999,5309.773682750003,4667.207001749999
88,33,24,31,0,100,90,96,14,1.6050749999999998,7591.873406500001,3634.7472689999986
89,11,17,17,9,85,89,81,68,1.5953689999999998,7390.96164475,3103.284835750001
90,7,48,15,1,54,100,51,17,1.609475,8473.684788500002,2675.7395277499986
91,17,9,36,19,52,94,64,97,1.581365,5928.820371500003,3776.727912249999
92,26,9,16,23,74,79,47,71,1.571524,6750.210523750005,2636.8033895000017
93,22,15,6,11,82,71,84,84,1.5781800000000001,6341.8471825,3937.1144767499986
94,28,10,26,20,86,99,100,88,1.5835650000000001,6520.6170079999965,3174.480197749999
95,20,19,18,9,75,74,85,61,1.581883,6410.777569750002,4060.231445999999
96,39,14,2,38,100,64,38,99,1.576511,5790.092946500003,2541.5253640000005
97,12,28,23,0,65,96,79,89,1.6048339999999999,8058.230874250004,3207.4987880000017
98,11,33,36,3,93,94,95,82,1.603247,7185.455559749997,3862.7457627500007
99,17,8,26,31,74,42,92,99,1.58282,4458.7183012500045,4147.34721325
100,33,10,21,25,96,54,81,77,1.572788,5157.029627749999,3927.004337249997
101,9,28,34,5,32,99,96,47,1.605206,6969.133617000005,3787.4340997500008
102,9,6,31,23,79,58,90,96,1.573953,5375.572443250002,3857.9237452500015
103,11,6,32,14,53,50,99,66,1.593486,4944.9348445000005,4746.913907749998
104,12,0,29,14,84,60,99,69,1.583102,5233.452320999997,4644.938706499999
105,19,13,13,10,94,87,89,49,1.59835,7219.434976249994,3170.386552500002
106,2,28,43,5,95,66,100,81,1.620867,5937.815906249998,4683.54344375
107,25,7,21,26,94,61,96,91,1.575775,5455.482005000003,3591.499327250001
108,4,32,21,22,97,81,92,95,1.6059169999999998,6288.335324999996,3116.4228914999985
109,13,16,24,22,41,73,94,90,1.5763129999999999,6073.843238999999,3349.1849895000028
110,30,17,10,17,94,57,66,89,1.5825230000000001,5286.674499250001,4285.221098
111,23,8,44,5,87,44,98,31,1.605388,4538.019896000003,5511.18135375
112,3,28,7,37,91,86,88,99,1.60521,6811.9597427500075,1526.3807770000003
113,13,15,29,2,93,58,85,78,1.610865,5539.958478999999,5129.619836499998
114,6,16,10,31,79,80,94,100,1.589832,6653.93114125001,2113.5127537499993
115,17,46,1,23,56,99,87,97,1.603872,8011.069297750002,1066.04099325
116,19,0,24,20,97,32,91,79,1.605112,3624.010087249997,4835.387467499998
117,25,9,12,12,87,42,87,75,1.5970879999999998,4430.0055522500015,5012.950899500001
118,20,27,30,2,69,85,93,85,1.595917,7280.86710074999,3814.721107499997
119,22,9,22,7,90,53,84,32,1.6033089999999999,5113.463398750002,5126.720667499999
120,14,22,22,13,87,98,100,95,1.602887,7066.719530750003,3070.0755130000002
121,10,18,20,17,38,63,57,93,1.5836109999999999,5667.455195500004,3915.634154000001
122,26,17,10,14,95,49,60,65,1.598963,4859.464168249997,4551.180600000001
123,13,10,14,16,57,95,100,66,1.601955,7504.90307875,2402.930257250001
124,6,49,26,8,37,98,60,44,1.616545,7384.350298000005,3153.9309009999993
125,22,21,1,34,100,83,40,91,1.5899649999999999,6997.083426,1407.6542835000007
126,21,25,14,29,81,83,100,93,1.57931,6640.644072749999,2318.680286500001
127,22,13,1,17,94,51,6,92,1.605432,4893.511534249996,1114.8142815000003
128,32,31,2,4,99,100,32,66,1.616557,7970.203160250009,2289.24155
129,20,19,17,29,86,67,97,88,1.5734819999999998,5770.777465249997,3158.4691980000025
130,11,32,17,29,93,85,80,75,1.581234,6502.901315500004,2426.7828470000004
131,4,8,15,22,14,25,74,72,1.643794,3040.40074325,4973.2792405
132,19,14,2,19,97,70,52,86,1.581272,5798.014402499995,3553.0030707499986
133,2,3,44,31,26,87,75,78,1.611469,4952.645300250001,3950.477836999998
134,1,28,36,24,20,100,51,72,1.636247,5672.565698999997,3595.3259470000003
135,28,15,14,2,100,68,52,17,1.60271,6152.368786749999,4362.140892999995
136,25,5,28,25,99,52,97,84,1.574353,4884.194136000006,4123.822449000002
137,7,20,20,16,38,98,91,89,1.5889199999999999,7359.6227165,2702.19802725
138,17,18,17,21,91,100,85,98,1.578837,7144.144771249997,2455.9211735000017
139,6,2,44,26,6,8,97,27,2.386829,1929.4965252499992,6201.430558999994
140,44,7,0,30,71,23,15,96,1.623276,3449.487686500003,2549.532652749999
141,27,25,8,9,96,94,54,35,1.597672,7886.829377750001,2559.9157817500013
142,2,19,36,39,77,55,87,92,1.638644,4765.433074,3427.7391415000016
143,6,55,28,9,41,91,98,98,1.623215,7034.997939500004,3442.0549855000004
144,17,14,13,13,98,97,86,93,1.601596,7822.251322000008,2320.646046250001
145,31,9,17,20,97,34,58,59,1.5959400000000001,3799.487352250003,4795.548915500003
146,6,9,31,28,68,44,97,93,1.588533,4534.744025250003,4223.179819499999
147,23,20,9,7,92,92,41,46,1.587895,7652.941940750002,2794.219254250001
148,21,20,45,9,52,70,99,91,1.609893,5816.178320500007,4518.4564582500025
149,31,14,17,34,98,80,55,97,1.5725959999999999,6242.0761592499975,2379.0836327500006
150,36,5,19,8,64,38,46,19,1.595535,4649.634360999998,4321.933984750001
151,21,12,31,21,60,100,97,58,1.6103269999999998,5785.444975499998,3633.6994157500035
152,10,0,10,45,23,99,58,100,1.588021,6413.768530750009,1479.3491355000008
153,12,10,14,20,79,95,67,94,1.5875569999999999,7350.893019499996,2294.358015
154,31,32,13,18,93,95,87,100,1.595209,7494.5604797499955,2262.1965422499993
155,5,19,17,16,55,95,100,76,1.591988,7435.1394194999975,2548.3405587499983
156,2,0,65,19,64,85,93,27,1.640638,4421.854018249999,4989.532231249999
157,10,6,9,26,68,88,59,96,1.588975,7354.263064999999,1767.9047584999987
158,17,18,7,14,71,97,67,73,1.593948,8270.614147999999,1820.8014947500003
159,30,21,30,11,82,59,84,87,1.5932879999999998,5458.999875750001,4639.1367897499995
160,21,19,16,10,80,100,70,98,1.6022159999999999,7898.292542,2458.5425882500012
161,7,19,34,26,87,51,90,98,1.580911,4905.378815999998,4143.667221499999
162,22,5,16,12,99,99,72,78,1.597105,7910.971639500007,2386.3554007499993
163,15,2,20,12,97,17,98,87,1.600245,2138.4978307499996,6197.608709
164,8,21,25,8,23,59,73,55,1.599523,5403.757094750003,4796.20694925
165,28,22,15,3,87,51,36,33,1.571444,5039.113761000001,3571.4364055000005
166,10,13,16,13,78,90,70,83,1.5917379999999999,6940.028670249999,3054.381607499998
167,3,31,34,11,37,98,100,37,1.621643,6570.078133499999,3695.6310277499997
168,18,15,1,18,67,94,22,91,1.5931449999999998,7941.902876499997,1476.4308927500003
169,10,23,35,12,37,74,100,80,1.5821830000000001,6336.029768500001,3914.026021999998
170,36,5,0,38,96,21,27,98,1.599335,2837.27288275,3089.9977670000017
171,17,11,18,2,80,80,90,64,1.5989200000000001,7036.608455249995,4028.187989749998
172,22,14,39,14,83,68,92,88,1.577648,5822.416544000003,4164.0818115
173,13,24,27,28,49,92,87,93,1.584007,5998.973846500003,3091.1803250000007
174,14,11,18,24,48,62,66,85,1.57672,5590.281487750001,3640.9962177500006
175,7,49,16,17,47,86,79,73,1.5976629999999998,6904.989481249996,2934.6334930000025
176,1,13,22,25,54,86,85,84,1.591788,6454.813483499999,2846.0526452499994
177,6,23,13,31,34,68,49,66,1.578884,5878.258943999995,2880.9368600000007
178,7,24,25,26,65,82,92,90,1.617441,5726.885792999995,3300.4701142500016
179,0,20,16,22,27,78,77,95,1.6023900000000002,6482.230425500009,2964.526414249998
180,13,37,6,33,67,78,100,89,1.603356,6135.75935125,2317.1961312500002
181,7,20,5,23,89,33,74,44,1.603832,3753.277062500003,4818.897246749996
182,11,21,23,3,58,91,78,36,1.606496,7639.412878250001,3318.806888250001
183,13,52,23,8,62,93,47,87,1.614274,6977.832317249997,3136.001826499999
184,10,1,20,19,62,16,97,93,1.607088,2015.3415197499999,6180.384159999997
185,14,17,24,25,44,90,72,77,1.5773039999999998,6395.313741249999,2938.2920275000015
186,18,20,20,0,55,65,79,46,1.601983,6019.222737249991,4925.0650415
187,0,45,0,35,36,99,34,91,1.6597439999999999,7273.621563000002,895.1163297499997
188,38,26,3,1,96,76,42,62,1.590214,6687.071320500001,3773.167134250003
189,32,12,37,6,94,93,95,60,1.590706,6848.134994000002,3957.1607104999994
190,19,6,18,14,88,48,91,86,1.595632,4789.06035525,4977.854491499997
191,8,41,25,3,44,83,57,97,1.6106349999999998,6952.557564250003,3812.789916000001
192,13,12,19,21,60,87,61,89,1.584744,6986.805200750003,2644.038200499999
193,24,28,9,4,81,95,48,34,1.598765,8005.775212750002,2807.258367
194,14,4,14,27,100,23,41,86,1.6008589999999998,2979.626654999999,4088.102579500002
195,5,36,22,0,45,100,81,33,1.617814,8235.065938250003,2917.768954
196,5,21,23,6,42,98,92,74,1.605286,7841.131686749999,2962.2328290000014
197,18,2,31,25,85,76,95,75,1.5885509999999998,5663.483143000003,3546.050787750001
198,13,14,16,27,75,53,86,99,1.568909,5030.568835999996,3974.7560015
199,17,5,32,38,60,33,97,68,1.61605,3749.5827685000013,4275.344609250003
200,14,9,14,17,95,83,91,100,1.578531,6771.911378499999,3088.678122
201,1,19,27,29,13,87,95,99,1.7498619999999998,5874.241590000003,3147.4924062500027
202,2,12,39,11,63,26,92,28,1.621241,3061.0501760000006,6145.876647499996
203,22,2,9,26,41,25,62,95,1.609268,3080.3287042499996,4735.209940499999
204,13,15,12,11,61,50,38,75,1.5889419999999999,4800.494906999996,3584.2323307499987
205,2,21,0,27,60,95,60,100,1.612469,7461.495397750003,1279.9894807499995
206,14,3,33,37,79,84,85,93,1.573972,5126.783845249998,3282.7186604999993
207,20,10,41,10,85,28,96,83,1.6006529999999999,3125.429151750001,6048.650742249998
208,0,46,24,24,79,89,62,87,1.678107,6233.291623999999,3063.0457405000016
209,25,21,16,2,99,97,86,57,1.61366,8150.576348499998,2924.724815749998
210,14,5,22,21,88,35,98,95,1.611951,3809.8180279999997,5091.906783999998
211,3,25,38,18,90,76,95,100,1.608832,5795.235634750002,3912.520409250003
212,32,9,4,49,82,22,33,93,1.610716,2951.6494264999997,3480.30090425
213,23,21,11,25,73,66,85,76,1.578212,5780.773163749998,3407.89914025
214,11,15,22,24,95,75,86,97,1.577488,6253.523822999996,3048.9838140000015
215,18,18,9,26,88,79,61,71,1.577593,6524.909735749998,2597.103120000001
216,19,29,17,26,85,55,86,54,1.589827,5129.536389499997,3923.490047000002
217,2,8,42,2,77,55,90,65,1.616185,5313.906668750008,5108.932256500003
218,16,21,23,23,88,71,99,81,1.579202,5973.950625250008,3383.9082725000017
219,26,0,38,17,57,88,91,86,1.6061619999999999,5927.438736249999,3898.5776919999976
220,32,1,32,13,95,53,92,35,1.5886040000000001,5054.682491250002,4808.193443749996
221,35,1,33,27,98,87,100,99,1.5943109999999998,5690.317154500005,3453.819753250002
222,2,32,40,0,40,90,94,51,1.632309,7057.304380999999,4180.505277
223,28,20,16,6,88,78,66,32,1.593308,6731.953618499995,3935.9188084999982
224,31,7,34,21,97,80,100,72,1.580962,5883.2025512499995,3669.3382267500015
225,21,41,0,21,52,95,25,46,1.598252,7989.360094750004,1251.1944752499994
226,0,32,51,10,60,73,88,29,1.6788189999999998,5648.373362999995,4636.665581999999
227,10,7,22,25,75,33,88,99,1.5970469999999999,3743.9954272499995,4877.647161249997
228,8,12,10,18,80,97,61,95,1.6131989999999998,6931.388380000004,2498.733997749999
229,3,11,36,34,29,67,97,95,1.599538,5228.19638425,3389.31441225
230,2,9,24,42,78,100,72,99,1.602484,5629.996061249999,2606.4717785000003
231,19,16,7,10,99,99,72,55,1.592986,8301.910163750003,2096.2834357500005
232,29,7,41,14,73,91,100,62,1.588434,5777.242185249998,4220.882653750001
233,17,44,18,0,87,80,75,3,1.6063619999999998,6921.094658500001,4284.514188000001
234,10,28,23,5,92,99,85,43,1.610274,7698.465586249996,3060.8522895000006
235,28,32,11,14,88,100,93,52,1.5885509999999998,8251.270055999994,1868.3516979999986
236,19,2,44,28,37,38,99,54,1.5875219999999999,4070.1758887499977,4572.981594250002
237,29,18,4,10,66,92,59,60,1.590309,7725.001575500006,2709.807157249999
238,27,23,19,19,59,81,92,77,1.5766740000000001,6876.055001250002,2884.7467882500005
239,19,17,18,21,89,98,81,72,1.586495,6960.382460750002,2611.8373885000005
240,67,14,10,0,81,27,89,99,1.598658,3049.7372142500003,6185.569764000003
241,0,2,23,29,75,62,73,95,1.6103109999999998,5419.917104499998,3466.5513035
242,13,15,3,23,70,86,24,99,1.5806559999999998,7308.545112750001,1754.4758310000009
243,34,13,8,14,86,82,45,72,1.5788440000000001,6532.5534347500015,3156.877754250002
244,8,29,9,18,56,85,98,57,1.5982319999999999,6738.9726625,2951.7936702499983
245,9,23,17,8,62,81,69,88,1.586215,6894.123556749995,3646.9221119999997
246,10,20,7,11,79,96,45,54,1.594204,7885.549068000009,2278.641464250001
247,32,9,3,4,86,74,86,23,1.600188,6480.469704499997,4386.0578535
248,13,20,16,0,60,95,81,3,1.6078160000000001,8052.239418999998,3167.6805005000006
249,11,14,18,44,39,92,65,98,1.575554,5956.6760082499995,2239.3226630000004
250,20,16,19,2,99,99,98,43,1.617776,8223.026990250008,2763.5490917499974
251,13,18,25,14,87,51,38,34,1.5799889999999999,5106.583833249998,3505.4337982500015
252,21,5,27,37,88,37,95,97,1.595634,4082.157610749997,4134.9446777500025
253,45,37,0,14,100,88,73,80,1.60061,6976.6819474999975,3057.116269999999
254,36,15,17,19,95,49,62,87,1.5902509999999999,4816.225767249998,4380.303621500002
255,17,4,40,27,64,17,89,85,1.625479,2374.1650584999998,5246.554613250003
256,29,36,16,12,77,99,44,99,1.587003,7959.737781250004,2355.7698742500024
257,40,0,1,24,100,91,62,75,1.590878,7565.5400754999955,1582.3841080000007
258,25,6,14,24,95,82,42,78,1.583939,6763.128041250001,2417.8218837499994
259,2,21,34,13,84,98,84,87,1.609777,6518.523694500001,3645.94459375
260,32,40,24,1,100,81,75,18,1.600933,6948.590278250007,4187.011719
261,46,15,33,3,99,26,65,66,1.610204,3211.9393309999996,4752.024411749999
262,3,32,35,5,57,93,97,67,1.6185079999999998,7033.954857249994,3825.557232
263,5,18,18,9,66,100,100,68,1.607395,7504.800559500002,2826.2507902500024
264,25,27,9,21,84,98,97,79,1.593039,7650.378939750006,1803.2085904999992
265,13,14,7,15,83,82,58,97,1.577522,7051.680088249998,2992.609740750001
266,21,17,16,8,100,82,86,66,1.59516,6893.947125249997,3652.026654250001
267,37,11,43,6,83,76,99,42,1.588848,6242.861747,4490.426778249999
268,29,3,17,16,100,32,100,56,1.602415,3570.189476749998,5178.793670000003
269,28,1,38,13,83,55,97,89,1.593165,5159.451960750004,4716.464284249999
270,13,24,25,33,36,79,97,83,1.593906,5593.322517249997,2996.460199749998
271,25,41,27,2,91,94,91,24,1.6147019999999999,7837.092878499999,3220.978974749999
272,6,15,16,12,92,87,98,69,1.60041,7010.346648749996,3227.740528249999
273,23,1,19,25,76,13,73,78,1.630592,2120.540140499998,5139.682293749999
274,1,18,13,19,83,87,61,99,1.598858,7397.720813749999,2377.601860750001
275,16,16,13,23,85,65,79,93,1.577618,5650.449989750005,3657.09304725
276,20,4,24,42,80,43,86,94,1.578942,4523.810147750008,3499.91440775
277,20,16,13,5,100,90,66,87,1.594015,7747.78246825,3141.086101000001
278,33,22,12,26,95,74,74,98,1.5747559999999998,6300.333737499999,2847.383023249998
279,8,8,34,19,93,35,96,99,1.607773,3850.773569499999,5078.030825000001
280,28,37,4,23,88,87,90,76,1.590472,7141.5436272499865,2170.5079072500007
281,29,0,42,15,98,76,94,36,1.602746,5791.821479999994,4125.938417000001
282,8,50,17,2,73,98,41,34,1.60831,8323.578835,2604.314088250002
283,21,4,14,10,60,65,70,53,1.582933,5800.850392250002,4405.143262
284,14,20,17,14,71,92,88,97,1.5877379999999999,7291.414738250001,2729.307413499999
285,11,11,19,13,56,66,100,98,1.590796,5761.445758250005,4271.9995972499955
286,10,19,5,19,89,97,94,98,1.5981429999999999,7929.307222750001,1603.53064625
287,6,30,57,5,95,36,74,46,1.623345,3991.3880835000014,5174.055099500001
288,20,25,16,14,96,98,90,85,1.5935389999999998,7722.365856500002,2431.174517000001
289,26,13,13,24,91,55,93,77,1.573785,5145.348310500004,4048.68006725
290,31,7,6,33,92,37,51,98,1.596779,4103.9562240000005,4190.359116750003
291,12,27,0,28,55,100,42,100,1.60736,7857.3811062500035,809.3535897499995
292,34,33,17,10,100,95,84,67,1.6034950000000001,7800.259592249998,2595.2494140000026
293,15,11,25,25,94,75,100,100,1.585551,6122.301815499995,3152.122498250001
294,4,32,14,19,89,98,60,74,1.591625,7612.403632250001,2146.102188249998
295,27,44,7,15,56,94,71,50,1.5918649999999999,7911.5605362500055,2086.1554147500015
296,26,14,23,19,99,61,92,75,1.57857,5479.929448500003,4069.595336999999
297,0,54,0,45,39,94,49,96,1.70965,6797.758338999998,722.8994369999998
298,2,36,8,30,67,63,32,47,1.606904,5597.348213499997,2910.3720197500024
299,19,33,7,34,40,73,60,72,1.5789339999999998,6097.204684499999,2419.160606000001
300,7,16,18,12,76,87,96,63,1.5958809999999999,6985.565423749998,3225.737810500001
301,25,25,18,16,70,89,40,63,1.574949,7293.257713999994,2584.7601889999974
302,6,22,4,23,90,93,39,93,1.595539,7258.9790805,1799.7837050000005
303,25,7,7,22,100,47,82,99,1.593936,4709.826708249997,4482.755661500001
304,48,6,13,9,68,23,96,90,1.596585,2649.312020000002,6197.724341999999
305,11,18,26,43,88,67,67,97,1.582989,5171.5767380000025,2909.4719855000008
306,30,21,9,19,55,52,71,94,1.584216,4982.266426249998,4373.309611999998
307,8,9,35,29,81,87,99,96,1.582333,5379.726882500001,3552.9005522500024
308,27,11,24,31,95,64,93,96,1.5809959999999998,5659.266708999996,3153.873683000001
309,8,29,11,17,61,80,63,85,1.596282,6493.757963999996,3243.8254365000043
310,4,7,25,17,83,63,82,84,1.581811,5617.709161000001,4145.743848249999
311,18,22,15,28,92,81,70,98,1.580379,6447.947026999999,2527.29654225
312,13,20,19,15,57,77,83,37,1.592544,6468.425989500008,3458.86349625
313,7,16,21,13,56,100,60,35,1.584508,7301.113601749996,2910.1479045000005
314,34,5,3,50,89,68,83,99,1.5960269999999999,5999.776125499998,1395.8871357500007
315,27,3,39,28,96,41,95,94,1.5778409999999998,4320.456983249999,4496.719834499998
316,24,23,15,27,72,56,90,70,1.582174,5093.184707749995,3900.38847825
317,13,17,8,17,84,100,66,68,1.594782,8231.375218999996,1586.8270387500004
318,9,17,3,19,56,61,55,88,1.579283,5492.441653499999,3926.2461690000023
319,3,13,20,15,36,63,62,96,1.6042459999999998,5511.744022500003,4108.558891250001
320,15,12,25,34,80,69,88,80,1.574293,5744.268894500004,2962.7454280000006
321,4,18,32,36,51,74,100,98,1.592572,5356.811286749996,3179.088830749998
322,19,12,5,20,97,80,86,94,1.576017,6793.500184500008,2883.964777750001
323,11,15,16,5,72,94,95,47,1.614026,7644.51265225,3018.8906212499987
324,17,28,18,22,74,100,90,86,1.583234,7057.625051000003,2506.36935275
325,29,5,26,10,87,63,75,86,1.587041,5731.6815844999965,4488.312006999998
326,29,27,1,36,84,96,28,96,1.599411,7456.72821825,757.6203357499995
327,9,36,24,18,66,88,72,82,1.59605,6438.183782749998,3268.7365997499987
328,11,17,7,28,94,84,54,87,1.579784,7051.006556750002,1898.2541580000006
329,19,3,13,15,87,89,54,63,1.580788,7486.422064249999,2537.677288499999
330,4,32,26,11,81,87,66,55,1.605763,7073.178289749995,3202.7661804999975
331,19,13,47,9,65,72,75,51,1.608574,5825.797319749997,4471.935035750001
332,20,16,0,29,61,88,74,93,1.59941,7236.385346499999,1470.8268647500001
333,0,27,32,34,92,64,89,97,1.670283,5267.173051250003,3316.21766175
334,24,16,13,3,93,81,87,40,1.59711,7094.368935000005,3966.06803075
335,37,27,8,23,98,100,57,79,1.593289,7425.181867750002,1779.8125742500008
336,1,34,4,22,92,99,99,68,1.615072,8077.77166475,1207.26347075
337,41,12,14,11,99,34,81,71,1.6040860000000001,3700.325490999997,5494.558811750001
338,21,26,12,16,87,99,49,84,1.589049,8027.917147500003,1932.8784947500003
339,25,19,0,14,84,82,26,95,1.575215,6805.245875000004,2576.365471
340,7,20,12,12,48,93,71,80,1.601373,7616.195679500004,2586.63535175
341,14,25,38,15,78,91,100,44,1.5883720000000001,6093.934776000001,3899.451495499998
342,19,15,12,10,88,60,76,60,1.5877219999999999,5478.210449749998,4660.042526250003
343,9,34,28,26,34,97,46,53,1.60499,5760.447980750002,3244.973422500002
344,27,19,14,7,97,66,62,72,1.589207,6034.691332750001,4342.1030034999985
