,pid,class-0-latency,class-1-latency,class-2-latency,class-3-latency,pr-0,pr-1,pr-2,pr-3,ar-0,ar-1,ar-2,ar-3,class-0-bw,class-1-bw,class-2-bw,class-3-bw
41,4514-1642665484,1.618612,4.703211,7.724956,9.978952,86,77,85,93,0,18,17,23,505.6846147499999,6250.02026525,3089.3349644999994,2507.9703309999995
42,78408-1642647316,1.593457,5.154708,12.885423,6.237935,81,87,48,100,23,16,8,41,505.59163075000015,6627.516747500009,1438.4651175,3614.555596
43,33469-1642655379,1.584201,5.111641,11.8723,6.943805,70,78,31,95,28,13,10,37,505.84077824999997,6462.446449499998,1843.7194844999995,3449.5401395
44,72502-1642659910,1.583048,5.218436,9.207308,7.838128,73,92,73,98,13,28,21,32,505.809784,6199.08928725,2627.4013517500002,3101.83405825
45,105166-1642663955,1.601944,4.884769,7.878368,10.586933,66,89,98,87,2,17,24,21,505.7060707500001,6410.906315250002,3133.487703250002,2340.8353329999995
46,74577-1642660211,1.590325,4.1108460000000004,10.236302,10.632384,93,93,52,95,22,21,10,21,505.78594174999995,7346.419097999999,2084.3851579999996,2353.5454277499994
47,15016-1642653199,1.603075,4.211404,9.080631,31.762064,73,99,97,20,8,42,21,2,505.56182775,8351.625201249995,2754.52852275,456.3510425000001
48,76702-1642660436,1.58569,6.710027,4.939038,9.962557,91,55,96,100,20,12,26,16,505.62620174999984,5159.502029249999,4460.436104500002,2181.4584745000006
49,49942-1642657274,1.579396,5.265851,6.943471,10.749957,97,70,66,82,35,24,11,19,505.7406427499999,6069.092750499999,3573.483230250001,2244.1625577499995
50,79240-1642660708,1.586043,4.319331,8.547289,11.841801,68,84,99,50,3,26,12,16,505.80620725,7099.946736499997,2893.5456290000034,1866.2488465000001
51,70502-1642659683,1.5809929999999999,5.5365269999999995,6.051876,11.148651,54,66,92,78,15,8,26,16,505.81216774999996,5778.093336249995,3965.6817919999985,2063.387632750001
52,13989-1642653071,1.583932,4.778316,11.912654,7.847362,41,89,37,90,10,38,10,33,505.7740204999999,6781.462431500006,1772.1998695000004,3222.2700107500013
53,85241-1642648116,1.604474,8.585631,4.227812,8.405141,79,42,69,88,12,15,23,21,505.7168000000002,4333.317280000001,4675.12130675,2744.622230750002
54,103567-1642650240,1.592649,4.8122039999999995,8.580195,8.527455,85,74,88,68,8,19,0,30,505.7704442500001,5986.472366250004,2816.761733749998,3034.876583250002
55,91368-1642648837,1.6006589999999998,9.644853,2.927628,8.002091,84,38,69,81,20,4,21,2,505.66315675000027,4122.873545750001,4910.594225249997,2589.1554357500004
56,7093-1642665810,1.595686,4.155985,9.432828,13.481417,98,100,100,74,17,18,17,13,505.7609085,7865.478994249995,2408.583163250001,1548.8195404999994
57,107704-1642664259,1.587524,4.5364,11.575901,8.392267,43,82,31,81,13,27,4,29,505.8264730000001,6776.3388147499945,1845.5123927499988,3128.83377
58,100444-1642663328,1.5949719999999998,4.927924,19.038553,6.119672,77,95,31,97,25,5,0,43,505.629778,7021.331787000002,639.7497642499999,3844.964502749999
59,63765-1642658910,1.595244,5.649475,5.095436,17.035963,64,69,93,92,17,4,33,3,505.79071025,6260.215047999999,4571.142196250002,808.6442942499993
60,107652-1642664242,1.611246,8.610243,2.920632,12.684305,51,44,83,74,17,8,31,0,505.62501024999995,4543.771741749999,5680.129528250001,1206.499339
61,44266-1642656623,1.606662,6.802571,7.206205,7.23628,53,98,96,93,2,17,34,34,505.62858574999996,5342.396495499995,3323.705196500001,3242.7501670000015
62,93127-1642662349,1.593577,4.371047,12.63278,8.519789,100,97,74,91,28,6,5,30,505.6786535,7484.548094499998,1263.7686714999998,2982.2230332500017
63,81839-1642661039,1.589847,9.915112,4.530736,6.6012319999999995,75,36,80,88,43,15,0,31,505.6273935000001,3994.604349999997,4399.596451000001,3373.787403750001
64,73044-1642659978,1.57891,5.864288,6.742921,10.085855,84,98,76,91,9,9,35,22,505.9027675000001,5809.0472227499995,3689.0947834999974,2403.4512037500003
65,71388-1642646476,1.602336,4.001628,8.420599,11.751252,95,96,99,98,24,35,13,16,505.6500430000002,7578.259707999997,2282.836437249999,1888.5385980000003
66,46270-1642656900,1.5800969999999999,7.878242,5.92443,7.287285,98,46,60,95,33,7,16,32,505.96356425000016,4646.680356499998,3938.9204979999986,3286.993504000001
67,69524-1642659600,1.595178,4.052597,10.433571,13.73863,94,100,99,83,13,16,14,12,505.70011074999985,8091.783524249998,2145.196198999999,1475.2972154999993
68,9693-1642652629,1.584744,4.712629,7.5819980000000005,11.648238,50,79,99,81,11,19,25,16,505.8443545000002,6519.404645500003,3401.5691287500035,1896.2955472499993
69,114424-1642651552,1.583175,8.371362,5.407597,7.029099,74,44,93,62,20,1,28,30,505.6989197500001,4556.385278000002,4077.2330772499963,3182.6603422499993
70,4556-1642652021,1.5766719999999999,4.874555,7.452622,10.120005,99,75,67,87,34,20,21,22,505.92780075,6383.954290249996,3089.4029137500006,2452.144623
71,8018-1642665904,1.5897540000000001,5.278793,8.025422,9.115952,78,100,67,91,7,20,26,26,505.743026,6007.869243500008,3137.950896500001,2749.556302500003
72,3966-1642665427,1.607882,6.175976,7.019332,8.54551,61,83,79,85,0,8,33,28,505.47361350000006,5619.623663249995,3425.8282169999975,2862.968444500002
73,98422-1642649656,1.576403,6.6222069999999995,7.935586,7.126664,58,61,93,99,10,24,28,36,505.92422575000006,5294.103623250002,3189.595936,3436.6393110000013
74,10776-1642666251,1.602573,8.605693,4.044789,8.675719,98,41,94,79,21,1,25,19,505.5737485000001,4281.6770067499965,4881.63470925,2586.5828982499993
75,39604-1642656113,1.603953,5.02082,6.695336,16.08605,16,93,82,72,4,16,35,8,505.61428075,6782.522202,3843.3730605,1110.7933507499997
76,102012-1642663574,1.606821,3.790222,9.263677,20.54236,75,100,72,35,14,27,10,5,505.5236807500001,8339.174986250004,2452.97193675,789.6709432500002
77,9656-1642666124,1.597453,4.536847,7.144182,11.371079,97,82,89,77,14,19,11,17,505.8217045000001,6606.700421249999,3198.0812520000013,2024.3310935000006
78,112269-1642664760,1.571859,4.989879,8.414335,9.8889,58,89,100,100,13,20,23,23,505.8538912500001,6545.49837375,2909.4278840000006,2470.12376775
79,10830-1642666254,1.585522,4.30745,9.519259,11.666488,73,88,76,81,20,29,9,17,505.80143925000016,7545.316217250004,2369.4050345,1912.3697287499983
80,78460-1642647342,1.966788,9.035136,4.399326,7.913506,11,40,98,100,0,15,40,24,503.11446200000006,4185.3082167500015,4771.497249249998,2832.3662280000012
81,91025-1642662103,1.583608,7.9361429999999995,5.316965,7.716865,93,46,99,64,35,16,9,26,505.7203757499998,4604.177474750005,4341.760872749999,2911.6332542500004
82,84110-1642648000,1.5950259999999998,3.777871,10.217227,13.336782,77,97,47,61,17,20,5,12,505.80739925000006,7888.75460500001,2219.805716249999,1616.42551475
83,49401-1642657235,1.581635,5.6437,7.711105,8.655726,88,65,55,69,18,24,18,28,505.81455200000005,5714.0254955,3218.492268500002,2970.7467539999993
84,94886-1642649269,1.615783,9.028218,3.659996,9.356929,73,40,87,80,16,10,12,16,505.436658,4157.552722249999,5190.751552249999,2352.3271089999985
85,73791-1642646765,1.600725,4.808264,6.473906,14.833566,80,89,99,37,13,31,34,10,505.43308225000004,6351.262331500004,3928.5981635000003,1359.7917572499994
86,84596-1642648020,1.581925,4.814166,10.129157,8.24728,86,76,24,70,30,16,3,11,505.77163650000006,6082.513334000003,2548.356055749999,3167.5028789999997
87,58129-1642658257,1.5844179999999999,6.773358,4.704009,10.735508,98,56,99,87,16,6,17,12,505.8264725,5309.773682750003,4667.207001749999,1761.9562142499985
88,23678-1642654211,1.6050749999999998,4.553205,7.091094,35.228584,100,90,96,14,33,24,31,0,505.5379862499999,7591.873406500001,3634.7472689999986,290.2042849999999
89,86353-1642661549,1.5953689999999998,4.12091,8.206352,15.335989,85,89,81,68,11,17,17,9,505.7549475000003,7390.96164475,3103.284835750001,1186.75827925
90,102155-1642650111,1.609475,3.987908,9.769737,31.657303,54,100,51,17,7,48,15,1,505.5916304999999,8473.684788500002,2675.7395277499986,418.2636732499997
91,17369-1642667037,1.581365,5.593263,6.384847,10.81043,52,94,64,97,17,9,36,19,505.78117324999994,5928.820371500003,3776.727912249999,2180.155513999998
92,81785-1642661003,1.571524,4.709159,8.926959,9.736388999999999,74,79,47,71,26,9,16,23,505.8562765000002,6750.210523750005,2636.8033895000017,2526.507378750001
93,38288-1642655949,1.5781800000000001,5.224498,6.106104,12.8994,82,71,84,84,22,15,6,11,505.79786225000004,6341.8471825,3937.1144767499986,1504.1708944999987
94,70555-1642659725,1.5835650000000001,4.995469,7.602259,10.736650000000001,86,99,100,88,28,10,26,20,505.6428897499998,6520.6170079999965,3174.480197749999,2229.293583499999
95,85866-1642661531,1.581883,5.073741,6.261804,14.579269,75,74,85,61,20,19,18,9,505.81931999999983,6410.777569750002,4060.231445999999,1260.943413500001
96,82104-1642647765,1.576511,5.7995719999999995,9.381722,6.737401,100,64,38,99,39,14,2,38,505.85865925000013,5790.092946500003,2541.5253640000005,3534.038066749999
97,11397-1642666295,1.6048339999999999,4.261855,8.389455,38.578083,65,96,79,89,12,28,23,0,505.58328624999996,8058.230874250004,3207.4987880000017,247.73597625
98,30879-1642655049,1.603247,4.793395,6.662029,25.627888,93,94,95,82,11,33,36,3,505.52725775000005,7185.455559749997,3862.7457627500007,571.8350429999999
99,5610-1642652112,1.58282,8.83147,5.233174,6.812959,74,42,92,99,17,8,26,31,505.7406425,4458.7183012500045,4147.34721325,3239.7341732499976
100,10231-1642652679,1.572788,6.982889,5.9256709999999995,8.385078,96,54,81,77,33,10,21,25,505.82766525,5157.029627749999,3927.004337249997,2803.570032750001
101,6154-1642652210,1.605206,4.6657139999999995,6.657946,20.200882,32,99,96,47,9,28,34,5,505.56063625000013,6969.133617000005,3787.4340997500008,813.3292199999999
102,92777-1642648989,1.573953,6.49899,5.997766,9.280955,79,58,90,96,9,6,31,23,505.8717720000001,5375.572443250002,3857.9237452500015,2687.01195575
103,2969-1642665315,1.593486,7.576043,4.320881,9.827495,53,50,99,66,11,6,32,14,505.7072637499999,4944.9348445000005,4746.913907749998,2036.2591740000012
104,105113-1642663926,1.583102,5.979893,5.197201,11.311706,84,60,99,69,12,0,29,14,505.69772625,5233.452320999997,4644.938706499999,1846.1203565
105,73286-1642646689,1.59835,4.221355,7.734749,14.910031,94,87,89,49,19,13,13,10,505.55467575000006,7219.434976249994,3170.386552500002,1361.4356504999998
106,88218-1642648438,1.620867,5.94528,4.880425,13.206955,95,66,100,81,2,28,43,5,505.5522915,5937.815906249998,4683.54344375,978.5604475000002
107,87975-1642661769,1.575775,5.983328,6.809965,8.901228,94,61,96,91,25,7,21,26,505.8324335000001,5455.482005000003,3591.499327250001,2835.0198290000003
108,78268-1642660638,1.6059169999999998,4.697806,7.41431,9.892444,97,81,92,95,4,32,21,22,505.63096975,6288.335324999996,3116.4228914999985,2484.75074725
109,11968-1642652866,1.5763129999999999,5.070293,7.584094,10.30102,41,73,94,90,13,16,24,22,505.81097524999984,6073.843238999999,3349.1849895000028,2468.4441075000004
110,93616-1642662436,1.5825230000000001,6.473513,5.178439,9.793327,94,57,66,89,30,17,10,17,505.8360087500001,5286.674499250001,4285.221098,2268.6493365000006
111,69471-1642659587,1.605388,8.265286,3.061016,11.062159,87,44,98,31,23,8,44,5,505.51295250000004,4538.019896000003,5511.18135375,1466.45903475
112,2335-1642665260,1.60521,4.876192,12.38223,7.095587,91,86,88,99,3,28,7,37,505.58328624999996,6811.9597427500075,1526.3807770000003,3356.181382750001
113,32826-1642655286,1.610865,6.711325,4.059908,16.499092,93,58,85,78,13,15,29,2,505.51176024999995,5539.958478999999,5129.619836499998,804.0368547499999
114,38526-1642655958,1.589832,4.713303,10.365211,8.079968,79,80,94,100,6,16,10,31,505.8073990000001,6653.93114125001,2113.5127537499993,3054.72970075
115,70148-1642646350,1.603872,3.911153,12.71061,9.998738,56,99,87,97,17,46,1,23,505.5308332500002,8011.069297750002,1066.04099325,2509.3662762499994
116,84888-1642661365,1.605112,10.928619,3.235594,6.840832,97,32,91,79,19,0,24,20,505.61070424999997,3624.010087249997,4835.387467499998,3174.4098662500005
117,58235-1642658273,1.5970879999999998,8.957621,3.368853,8.231922,87,42,87,75,25,9,12,12,505.73229725000004,4430.0055522500015,5012.950899500001,2261.4431379999996
118,71965-1642659877,1.595917,4.665876,6.851567,28.243561,69,85,93,85,20,27,30,2,505.6369304999999,7280.86710074999,3814.721107499997,501.53136199999994
119,75655-1642660310,1.6033089999999999,7.116076,4.069147,11.643469,90,53,84,32,22,9,22,7,505.5868622500001,5113.463398750002,5126.720667499999,1321.0988045000001
120,102607-1642663657,1.602887,4.249021,7.544228,12.85015,87,98,100,95,14,22,22,13,505.549907,7066.719530750003,3070.0755130000002,1644.6614245000003
121,10178-1642652675,1.5836109999999999,5.832708,6.051192,10.123176,38,63,57,93,10,18,20,17,505.68461350000007,5667.455195500004,3915.634154000001,2293.1396957500006
122,76193-1642660382,1.598963,7.612765,4.25528,9.501279,95,49,60,65,26,17,10,14,505.75017925,4859.464168249997,4551.180600000001,2328.532934749998
123,80270-1642660879,1.601955,3.960943,9.207682,12.177444,57,95,100,66,13,10,14,16,505.72514525000014,7504.90307875,2402.930257250001,1874.1333487499999
124,103080-1642650179,1.616545,4.320161,7.861729,14.588186,37,98,60,44,6,49,26,8,505.5713655000001,7384.350298000005,3153.9309009999993,1145.0898660000007
125,19122-1642653683,1.5899649999999999,4.562283,12.127081,7.437068,100,83,40,91,22,21,1,34,505.7179920000001,6997.083426,1407.6542835000007,3273.460865249999
126,16584-1642653402,1.57931,4.699029,9.668641,8.494947,81,83,100,93,21,25,14,29,505.82289600000007,6640.644072749999,2318.680286500001,2920.472622250002
127,101998-1642650056,1.605432,6.972029,15.116373,4.061846,94,51,6,92,22,13,1,17,505.47599800000006,4893.511534249996,1114.8142815000003,5341.295004500003
128,102659-1642663663,1.616557,3.672073,10.42383,12.463829,99,100,32,66,32,31,2,4,505.67269300000015,7970.203160250009,2289.24155,1329.2157654999996
129,11431-1642652778,1.5734819999999998,5.47847,7.904838,8.567885,86,67,97,88,20,19,17,29,505.88369350000005,5770.777465249997,3158.4691980000025,2972.6254917500014
130,100043-1642649841,1.581234,4.866734,9.793245,8.440021,93,85,80,75,11,32,17,29,505.85746700000004,6502.901315500004,2426.7828470000004,2936.456203000002
131,19608-1642653735,1.643794,12.377922,2.753378,6.044402,14,25,74,72,4,8,15,22,505.41758475000023,3040.40074325,4973.2792405,3503.1831267500024
132,110739-1642664591,1.581272,5.187187,7.14898,10.280439,97,70,52,86,19,14,2,19,505.76925300000005,5798.014402499995,3553.0030707499986,2505.0544747500016
133,111277-1642664630,1.611469,7.791589,5.4659,7.780594,26,87,75,78,2,3,44,31,505.6750780000001,4952.645300250001,3950.477836999998,2946.7451587499986
134,72798-1642646673,1.636247,5.98445,6.831559,9.186943,20,100,51,72,1,28,36,24,505.5582525,5672.565698999997,3595.3259470000003,2654.2627809999985
135,99853-1642663239,1.60271,5.606857,5.265262,14.929258,100,68,52,17,28,15,14,2,505.6202405000001,6152.368786749999,4362.140892999995,1049.4577870000005
136,804-1642665093,1.574353,7.120313,5.661772,8.56108,99,52,97,84,25,5,28,25,505.85627475000007,4884.194136000006,4123.822449000002,2867.2659397500015
137,86405-1642661559,1.5889199999999999,4.405026,8.961599,12.008167,38,98,91,89,7,20,20,16,505.82170475,7359.6227165,2702.19802725,1808.9938152500004
138,81019-1642647638,1.578837,4.516677,9.507344,11.03829,91,100,85,98,17,18,17,21,505.86223524999986,7144.144771249997,2455.9211735000017,2293.9300527500004
139,63278-1642658885,2.386829,15.529277,2.926943,8.340899,6,8,97,27,6,2,44,26,500.27728049999996,1929.4965252499992,6201.430558999994,3346.0760132500004
140,55047-1642657903,1.623276,10.672350999999999,8.911078,2.476162,71,23,15,96,44,7,0,30,505.36155675,3449.487686500003,2549.532652749999,5326.811075250003
141,82697-1642647826,1.597672,3.9130700000000003,8.83642,15.165819,96,94,54,35,27,25,8,9,505.60593600000004,7886.829377750001,2559.9157817500013,1247.301102000001
142,84056-1642647966,1.638644,7.871293,6.412445,6.408328,77,55,87,92,2,19,36,39,505.3591732500001,4765.433074,3427.7391415000016,3628.0202885000003
143,68932-1642659542,1.623215,4.496335,7.400741,15.1797,41,91,98,98,6,55,28,9,505.3055285000001,7034.997939500004,3442.0549855000004,1231.3187122499999
144,75167-1642660262,1.601596,4.053117,9.064649,13.017954,98,97,86,93,17,14,13,13,505.62858600000015,7822.251322000008,2320.646046250001,1593.33706075
145,94397-1642649169,1.5959400000000001,9.870366,4.22493,7.091649,97,34,58,59,31,9,17,20,505.4974550000002,3799.487352250003,4795.548915500003,3030.018806000002
146,77052-1642647151,1.588533,8.386747,5.052435,7.405046,68,44,97,93,6,9,31,28,505.6083192499999,4534.744025250003,4223.179819499999,3099.9851237499997
147,95672-1642662665,1.587895,4.000612,9.666222,14.947563,92,92,41,46,23,20,9,7,505.75137125000003,7652.941940750002,2794.219254250001,1275.69437125
148,70847-1642646445,1.609893,5.692968,5.114615,14.388845,52,70,99,91,21,20,45,9,505.4461955,5816.178320500007,4518.4564582500025,1309.9193567500004
149,70012-1642659643,1.5725959999999999,5.281664,9.956002,7.968187,98,80,55,97,31,14,17,34,505.83839450000016,6242.0761592499975,2379.0836327500006,3266.1545284999997
150,70201-1642646354,1.595535,7.882327,4.808519,8.876,64,38,46,19,36,5,19,8,505.6107037500001,4649.634360999998,4321.933984750001,2810.5044384999983
151,77675-1642660551,1.6103269999999998,5.056319,6.509306,10.321494,60,100,97,58,21,12,31,21,505.605936,5785.444975499998,3633.6994157500035,2435.793876749999
152,73097-1642660016,1.588021,5.63794,13.646589,5.622018,23,99,58,100,10,0,10,45,505.644083,6413.768530750009,1479.3491355000008,3813.5445112499983
153,31418-1642655151,1.5875569999999999,4.219874,9.500468,10.721618,79,95,67,94,12,10,14,20,505.7883257500001,7350.893019499996,2294.358015,2190.917729500001
154,7078-1642652298,1.595209,4.099604,8.763577,11.247196,93,95,87,100,31,32,13,18,505.6333537500002,7494.5604797499955,2262.1965422499993,2034.30533475
155,109208-1642650897,1.591988,4.241382,9.22788,11.961136,55,95,100,76,5,19,17,16,505.70607175,7435.1394194999975,2548.3405587499983,1846.9083314999993
156,7617-1642652352,1.640638,8.123069,3.278159,10.350373,64,85,93,27,2,0,65,19,505.52129750000006,4421.854018249999,4989.532231249999,2185.9168995
157,109224-1642664429,1.588975,4.40277,11.227775,9.59446,68,88,59,96,10,6,9,26,505.6750775000002,7354.263064999999,1767.9047584999987,2681.9169524999993
158,96521-1642649447,1.593948,3.915982,11.258799,13.294245,71,97,67,73,17,18,7,14,505.66196400000007,8270.614147999999,1820.8014947500003,1623.2240204999996
159,112849-1642651366,1.5932879999999998,6.2911,4.861984,11.508653,82,59,84,87,30,21,30,11,505.6130885,5458.999875750001,4639.1367897499995,1619.9553012499994
160,4019-1642665453,1.6022159999999999,3.914316,9.024827,15.490411,80,100,70,98,21,19,16,10,505.74183450000015,7898.292542,2458.5425882500012,1311.78379
161,25732-1642654444,1.580911,7.344187,5.8300149999999995,8.298023,87,51,90,98,7,19,34,26,505.6476595000001,4905.378815999998,4143.667221499999,2842.901945249999
162,76405-1642647092,1.597105,3.99975,9.156041,13.616501,99,99,72,78,22,5,16,12,505.67507700000004,7910.971639500007,2386.3554007499993,1461.41410075
163,42735-1642656470,1.600245,16.190752,2.831556,7.378023,97,17,98,87,15,2,20,12,505.77282925,2138.4978307499996,6197.608709,3134.2768657499987
164,104072-1642650312,1.599523,6.253239,4.614076,12.238676,23,59,73,55,8,21,25,8,505.5713652500002,5403.757094750003,4796.20694925,1460.5069159999998
165,79591-1642647446,1.571444,7.068321,6.706641,7.5359739999999995,87,51,36,33,28,22,15,3,505.86581250000006,5039.113761000001,3571.4364055000005,3276.6652110000014
166,98476-1642649683,1.5917379999999999,4.3383009999999995,8.263723,13.173671,78,90,70,83,10,13,16,13,505.7120317500001,6940.028670249999,3054.381607499998,1724.5471460000015
167,16290-1642666906,1.621643,5.011013,6.5036380000000005,14.059899,37,98,100,37,3,31,34,11,505.47480525000003,6570.078133499999,3695.6310277499997,1429.9130444999996
168,85135-1642648094,1.5931449999999998,4.016981,13.482321,10.679523,67,94,22,91,18,15,1,18,505.65838850000006,7941.902876499997,1476.4308927500003,2297.5945474999976
169,56180-1642658022,1.5821830000000001,5.208594,6.344963,12.858273,37,74,100,80,10,23,35,12,505.69176625,6336.029768500001,3914.026021999998,1563.860176500002
170,57642-1642658224,1.599335,13.556911,8.443177,3.106357,96,21,27,98,36,5,0,38,505.7287202500001,2837.27288275,3089.9977670000017,5541.632173749995
171,24704-1642654323,1.5989200000000001,4.8152539999999995,6.260015,23.338703,80,80,90,64,17,11,18,2,505.709648,7036.608455249995,4028.187989749998,562.6213560000001
172,59766-1642658435,1.577648,5.756176,5.651222,11.757664,83,68,92,88,22,14,39,14,505.7656770000001,5822.416544000003,4164.0818115,1808.6767202499989
